CardID,CustomerID,CardNumber,CardType,CVV,ExpiryDate,Limit,Status
1,19,5326784019,UzCard,231,8/9/2024,47713,Blocked
2,155,1093268457,Amex,980,8/8/2024,17853,Blocked
3,318,3125874069,Amex,580,3/2/2026,39907,Blocked
4,453,2197643058,Amex,475,9/14/2030,43811,Closed
5,382,538427916,MasterCard,17,1/6/2024,32977,Active
6,720,9586704231,MasterCard,45,3/14/2023,8556,Closed
7,962,3290678541,Visa,61,2/20/2025,10843,Blocked
8,983,9324806571,UzCard,410,9/28/2025,32607,Blocked
9,679,2197534806,Amex,362,2/12/2023,11817,Blocked
10,469,3582641790,Visa,936,11/15/2025,17056,Closed
11,340,2315760498,Visa,102,12/29/2028,40291,Blocked
12,846,6849035271,UzCard,764,2/3/2023,6818,Active
13,130,8059362471,MasterCard,827,6/22/2025,43946,Active
14,497,295416387,UzCard,678,4/11/2024,5808,Blocked
15,406,1035642897,MasterCard,241,11/7/2029,32465,Active
16,95,7140298653,UzCard,248,4/20/2029,30943,Active
17,109,7685213049,Amex,642,2/18/2026,39760,Active
18,996,3182704956,UzCard,382,9/9/2026,5722,Active
19,918,4823576910,Visa,620,10/4/2024,28587,Blocked
20,717,8604923751,MasterCard,843,9/5/2026,1507,Closed
21,365,8192764305,Amex,570,2/10/2028,34851,Active
22,998,3018624975,MasterCard,524,2/22/2025,8010,Closed
23,908,9853624017,MasterCard,610,3/11/2023,28458,Closed
24,22,2751493068,MasterCard,859,4/15/2024,49260,Active
25,591,4871962530,MasterCard,175,10/15/2026,46740,Blocked
26,354,5164290873,UzCard,809,7/8/2025,49965,Blocked
27,27,4250183697,Amex,357,5/31/2025,30039,Active
28,235,3469085217,UzCard,216,6/5/2026,6922,Closed
29,559,8172345906,Amex,460,4/2/2028,21114,Closed
30,904,176385249,Amex,837,1/3/2025,5123,Blocked
31,271,7048269351,MasterCard,729,6/7/2026,29533,Blocked
32,129,6951380274,UzCard,875,10/18/2030,23227,Blocked
33,18,3140826759,Amex,176,8/17/2026,33142,Blocked
34,766,5132094867,Amex,309,2/20/2029,8958,Blocked
35,326,9053684172,UzCard,219,9/27/2027,24131,Active
36,839,8052367914,MasterCard,217,4/28/2029,29066,Active
37,438,2487105396,UzCard,32,10/4/2024,43269,Closed
